"""","平成20年度(2008)","平成21年度(2009)","平成22年度(2010)","平成23年度(2011)","平成24年度(2012)"
"家計（個人企業を含む）_  １．最終消費支出(百万円)","2269755.0","2099928.0","2049307.0","2064183.0","2027758.0"
"家計（個人企業を含む）_  ２．財  産  所  得(百万円)","23426.0","20248.0","15927.0","13026.0","13388.0"
"家計（個人企業を含む）_    (1) 消費者負債利子(百万円)","6313.0","4356.0","3209.0","3165.0","3777.0"
"家計（個人企業を含む）_    (2) その他の利子(百万円)","15208.0","13992.0","10806.0","7920.0","7661.0"
"家計（個人企業を含む）_    (3) 賃   貸   料(百万円)","1906.0","1900.0","1912.0","1941.0","1950.0"
"家計（個人企業を含む）_  ３．所得・富等に課される経常税(百万円)","142823.0","137693.0","130560.0","130958.0","134050.0"
"家計（個人企業を含む）_  ４．社会負担(百万円)","401576.0","438237.0","454113.0","457842.0","483006.0"
"家計（個人企業を含む）_    (1) 現実社会負担(百万円)","348865.0","376522.0","392516.0","403704.0","414464.0"
"家計（個人企業を含む）_　  　ａ.雇主の現実社会負担(百万円)","159670.0","171859.0","180989.0","189964.0","193926.0"
"家計（個人企業を含む）_　  　ｂ.雇用者の社会負担(百万円)","189195.0","204663.0","211527.0","213740.0","220538.0"
"家計（個人企業を含む）_    (2) 帰属社会負担(百万円)","52711.0","61715.0","61597.0","54138.0","68542.0"
"家計（個人企業を含む）_  ５．その他の経常移転(百万円)","89662.0","79504.0","88840.0","96067.0","98508.0"
"家計（個人企業を含む）_　　　　うち非生命保険純保険料(百万円)","31392.0","33149.0","31309.0","36736.0","31194.0"
"家計（個人企業を含む）_  ６．貯        蓄(百万円)","-301097.0","-147816.0","-76932.0","-100973.0","-68890.0"
"家計（個人企業を含む）_       支          払(百万円)","2626146.0","2627794.0","2661815.0","2661102.0","2687821.0"
"家計（個人企業を含む）_(参考)支払利子（ＦＩＳＩＭ調整前）(百万円)","19362.0","16676.0","13248.0","11031.0","10716.0"
"家計（個人企業を含む）_　　　（参考）可処分所得(百万円)","1978284.0","1964252.0","1983087.0","1976080.0","1975016.0"
"家計（個人企業を含む）_　　　　　　　　　貯 蓄 率（％）(百万円)","-15.3","-7.6","-3.9","-5.1","-3.5"
"","","","","",""
"家計（個人企業を含む）_  ７．営業余剰・混合所得(百万円)","296767.0","287238.0","308446.0","304174.0","307160.0"
"家計（個人企業を含む）_    (1) 営業余剰（持ち家）(百万円)","185268.0","196498.0","199525.0","202673.0","208610.0"
"家計（個人企業を含む）_    (2) 混合所得(百万円)","111499.0","90740.0","108921.0","101501.0","98550.0"
"家計（個人企業を含む）_　８．県民雇用者報酬(百万円)","1496411.0","1490463.0","1491133.0","1487753.0","1500210.0"
"家計（個人企業を含む）_    (1) 賃金・俸給(百万円)","1284013.0","1256639.0","1248547.0","1243651.0","1237742.0"
"家計（個人企業を含む）_    (2) 雇主の社会負担(百万円)","212398.0","233824.0","242586.0","244102.0","262468.0"
"家計（個人企業を含む）_　  　ａ.雇主の現実社会負担(百万円)","159685.0","172093.0","180989.0","189964.0","193926.0"
"家計（個人企業を含む）_　  　ｂ.雇主の帰属社会負担(百万円)","52713.0","61731.0","61597.0","54138.0","68542.0"
"家計（個人企業を含む）_  ９．財  産  所  得(百万円)","145411.0","138497.0","132668.0","137309.0","138547.0"
"家計（個人企業を含む）_    (1) 利        子(百万円)","43269.0","35473.0","29786.0","26453.0","25024.0"
"家計（個人企業を含む）_    (2) 配        当(百万円)","21025.0","20026.0","18126.0","24273.0","23296.0"
